event_nr,position,runner,agegroup,gender,club,time,age_grade,no_runs,no_volunteered
7,5,b5209396ac90a9b992da807cf23efa95904242a671e13aceaf3980baa69b3aa5,VM55-59,Männlich,,28:44,54.41,115,8
7,6,6e27eaf0b6782fd005eae744efe145ef519923ed5914c94cc7d8105be13e4a59,VM40-44,Männlich,,28:45,47.48,1,0
7,7,588bd4981cdb410c1b11d59d584a34afc68f7730ee857be70061838abd22a12b,VM35-39,Männlich,,29:07,46.19,3,2
7,8,eef395eaf7637cd2e907460a3e5bba2c9c84e6709195c878b2b5fd46629d53cc,VF40-44,Weiblich,ASC Konstanz,29:08,52.52,22,111
7,9,4f6b16c08d9f3cd390f2454c47f9704d60c04790b84af8273afaf2889ac09e34,SF30-34,Weiblich,,29:20,50.68,53,0
7,10,4be29ae354c3f5f343cd80fa43744ebedcbbf876c0c6831756cf94dca8d9ca3f,VF50-54,Weiblich,,37:54,44.24,23,1
7,11,563a974f283dc65617c3384dc2bff8c356ec7935d348d963529b91f1a361e704,VM50-54,Männlich,,37:55,38.90,38,5
7,12,6285d8837b4d32d7cc879cbeaf02c824fc0bf707b4004210cd32ab9a57291c31,VF45-49,Weiblich,,52:33,31.53,11,0
7,13,8fa8205218826e752da3e3b4fa03697b288afac0e782617f1a61141547cc333a,VF50-54,Weiblich,,52:38,33.09,6,5
8,1,e51ebfa605cd6f36a8dbf88b694726e1fc087e34a24c5298b4e0ed46fe0d2d29,SM30-34,Männlich,,18:30,70.09,4,0
8,2,11786b6bee326922969daaaf53e11756ebe5921c804fd9f160cf8b850b3ab297,VM35-39,Männlich,Bellahouston Road Runners,20:58,64.15,167,14
8,3,4983084e81547b81c5cf3330f38194531589a1ce9f05dcc0bb71f48a1ef6a435,SM25-29,Männlich,,22:13,58.06,10,2
8,4,42fbf00641480b17b63e2068eeed66bff7e11ccf6652053e3d2e8b52b6189255,VM50-54,Männlich,ASC Konstanz,23:07,64.82,105,13
8,5,24bfe1f9e35ee56b554889fd60cd1f7528e66df7f256c400c2cd1d9d64f6d923,VM60-64,Männlich,,25:54,61.90,5,0
8,6,b5209396ac90a9b992da807cf23efa95904242a671e13aceaf3980baa69b3aa5,VM55-59,Männlich,,26:09,59.78,115,8
8,7,a55551e3fad1833b2fdad4305929db6c4316b0d593a065f7c47bedb77fe0c222,VM75-79,Männlich,,27:00,72.84,65,11
8,8,6285d8837b4d32d7cc879cbeaf02c824fc0bf707b4004210cd32ab9a57291c31,VF45-49,Weiblich,,50:49,32.60,11,0
8,9,eef395eaf7637cd2e907460a3e5bba2c9c84e6709195c878b2b5fd46629d53cc,VF40-44,Weiblich,ASC Konstanz,50:50,30.10,22,111
9,1,8bb25b3634eaaddcef4e0955c50212e9b6d7564bd38b84a1f4a2f5595b883c90,SM25-29,Männlich,,21:38,59.63,1,0
9,2,1e719eef203bb2111c1b27aacf78e2531cba76c1d66a762ae8ab7aeb03f5e201,VM40-44,Männlich,,22:22,62.44,17,6
9,3,42fbf00641480b17b63e2068eeed66bff7e11ccf6652053e3d2e8b52b6189255,VM50-54,Männlich,ASC Konstanz,23:05,64.91,105,13
9,4,7a92cfe30678f97085fd25d04c1fd5d9be248e36e2a4cd5854bb418bb226f119,VF40-44,Weiblich,,24:13,64.01,29,12
9,5,b5209396ac90a9b992da807cf23efa95904242a671e13aceaf3980baa69b3aa5,VM55-59,Männlich,,26:02,60.05,115,8
9,6,fe6b217580afdfb420a63b143fd3be1fd0658ea8945c5ed3cddfc98cd544562d,SM25-29,Männlich,,26:11,49.27,21,9
9,7,94991abe86716d03fea3cc0e604cdb68e9f0a0e706b0c8c9c18f57692ede1661,SF30-34,Weiblich,San Francisco Road Runners Club,26:51,55.37,33,3
9,8,24bfe1f9e35ee56b554889fd60cd1f7528e66df7f256c400c2cd1d9d64f6d923,VM60-64,Männlich,,27:34,58.16,5,0
9,9,83115f5a23741f47257b50ddecd9c1e3344ce0f47d8b35cfabceeb98492a95ee,VF35-39,Weiblich,,33:28,45.22,31,53
10,1,23188fd182b2d785bda167bc3cf0c23f1ce1d787a392bd45319bbbe285ef810b,SM25-29,Männlich,,20:17,63.68,7,0
10,2,62ea5bad1c64b5b91bf5ba98a6c3c422fc2efb94e4a21d4a4d8d6b69bf69fe60,SM20-24,Männlich,ASC Konstanz,20:18,63.55,2,0
10,3,333112f02da1c7f14d8b618e1f565dc8cc93a5f0b52fb96f42844fa118dfb1a5,SM25-29,Männlich,,20:20,63.44,5,0
10,4,ec973bd99c41628af732584be57af9b3cb749f0e5d70f246966a7d69715249a3,SM25-29,Männlich,,20:22,63.34,56,61
10,5,275fce6aff801b41f6da193617186cdbd93185607946f8976491bdba0e644d07,SM20-24,Männlich,,20:35,62.67,9,2
10,6,3758d6dbd9bdfd7328b643f24a161597d110523324f4093573a3bb08f5145572,SF20-24,Weiblich,,21:51,67.73,7,1
10,7,42fbf00641480b17b63e2068eeed66bff7e11ccf6652053e3d2e8b52b6189255,VM50-54,Männlich,ASC Konstanz,22:29,66.64,105,13
10,8,1be5a4bc82024ffc143ad211bdf364a72cdf914c6287a740bd23a9c5d546c7e4,VM60-64,Männlich,,23:20,69.36,36,4
10,9,e40883def69cfcf12777d84346578e519e08dd85f8fb3b83a19667791934c990,SM25-29,Männlich,,23:53,54.01,19,1
10,10,a30e2c9b35909a6052da17028a8d749d396dbe6a8790150250baf49f49f6ae8c,SM25-29,Männlich,,26:21,49.02,1,0
10,11,c75c425fa09ace47956b8d8fe6d6a579fc574b87feed2aadce24a4ede798a045,SF20-24,Weiblich,,26:24,56.06,1,0
10,12,de404fd142e59f1a244240487bf1f97b576c3df879439a626c52ce646e943442,SF25-29,Weiblich,,30:42,48.21,8,0
10,13,6285d8837b4d32d7cc879cbeaf02c824fc0bf707b4004210cd32ab9a57291c31,VF50-54,Weiblich,,49:05,34.16,11,0
10,14,94991abe86716d03fea3cc0e604cdb68e9f0a0e706b0c8c9c18f57692ede1661,SF30-34,Weiblich,San Francisco Road Runners Club,49:07,30.27,33,3
11,1,d724dca0cb6f7f76ec13b5733fc3b82d75f05822d2889e7b78502bdc5e380401,SM30-34,Männlich,,20:15,64.77,6,0
11,2,275fce6aff801b41f6da193617186cdbd93185607946f8976491bdba0e644d07,SM20-24,Männlich,,20:26,63.13,9,2
11,3,ad23d5c04dc2ba5798b899dc9809b91182fc9708cab64c0c3f4bb45759ff8635,VM35-39,Männlich,,21:49,61.19,4,0
11,4,42fbf00641480b17b63e2068eeed66bff7e11ccf6652053e3d2e8b52b6189255,VM50-54,Männlich,ASC Konstanz,22:24,66.89,105,13
11,5,ec973bd99c41628af732584be57af9b3cb749f0e5d70f246966a7d69715249a3,SM25-29,Männlich,,22:25,57.55,56,61
11,6,a2791ea4c881a3202182856f54298cf8008ad9e0b54137b1c55fe552467771dc,SM25-29,Männlich,,24:11,53.34,26,13
11,7,42dbf6ad0e14f57d0970514f9c031e692d0298a9da31a0c2dc3b2c89fbc1a23a,SM30-34,Männlich,,24:59,51.77,9,0
11,8,b5209396ac90a9b992da807cf23efa95904242a671e13aceaf3980baa69b3aa5,VM55-59,Männlich,,25:50,60.52,115,8
