date,first_female,first_female_time,first_male,first_male_time,number_of_finishers,number_of_volunteers,event_number
2023-11-18,29e8562d4581dc763274984a5648545b68b1c6a35deec500a39dd43e3dc70a13,21:35,f564f3f7295f5d1e3f65774cf22aa4bb2c237428808f6aec0e0ff6960882e130,20:34,19,7,120
2023-11-11,29e8562d4581dc763274984a5648545b68b1c6a35deec500a39dd43e3dc70a13,21:32,bf0459daf0a1f6974e09075b3c642ac5fefefb99e024168ebfc276a43e7defa5,21:32,30,10,119
2023-11-04,6c5295c6fbf85bef4bc5e8f15b3430b939771f629ece4d806e71f69fa653a2dd,18:55,8d52d94b4fe29553bc4e3e7af4c58dc3fe44803bc8e57dfe47a52c35b010bfd1,20:09,26,6,118
2023-10-28,6c5295c6fbf85bef4bc5e8f15b3430b939771f629ece4d806e71f69fa653a2dd,18:48,eae8835af207bc048947d27d958f3bfb866344b733ab4cc7bc13c1e8aa2ad919,17:32,21,8,117
2023-10-21,29e8562d4581dc763274984a5648545b68b1c6a35deec500a39dd43e3dc70a13,21:42,d3941ba1e955e605db58616a2a1d2fcfa8190f8b1a63ec19f441dcfd39ab8e7c,20:42,30,7,116
2023-10-14,5132411d1f21a0f6eb41ec626126c024d6351ddd3e2387e2c529f014947e5b2a,24:58,f04144c840c613f993f056aa48bfd0ca028455621572ff473cdd3f95710f5514,17:45,19,8,115
2023-10-07,6c5295c6fbf85bef4bc5e8f15b3430b939771f629ece4d806e71f69fa653a2dd,18:36,f85fad5be51b14ba85974c853bd69bee79de4f56328ee596740621949b5efa00,18:51,44,7,114
2023-09-30,29e8562d4581dc763274984a5648545b68b1c6a35deec500a39dd43e3dc70a13,22:03,3c7f1d90b74860ba2b5e4f6410bb816fac45db045d2153e2ab86ac761931572f,18:22,34,7,113
2023-09-23,6c5295c6fbf85bef4bc5e8f15b3430b939771f629ece4d806e71f69fa653a2dd,18:42,dc512b135a14f29f0e92a87bc5fa87cb9ada234e2b0f04e4170d5b82dc46be22,21:47,32,8,112
2023-09-16,6c5295c6fbf85bef4bc5e8f15b3430b939771f629ece4d806e71f69fa653a2dd,18:56,b5561d6fb3b73093ffc0b88c03ee54edfd69f76c7f43167d556ba2b85fa59264,18:54,32,9,111
2023-09-09,35dc07c4d3a7676bbea7eb93e29e8a4070a9b2fa45b1353316fab0688f2ec663,23:51,9893f1f940fb5cad02d995dfb1786e2467f554c72d8ab3c648c110b1aabc58b0,18:25,37,7,110
2023-09-02,6c5295c6fbf85bef4bc5e8f15b3430b939771f629ece4d806e71f69fa653a2dd,18:48,f85fad5be51b14ba85974c853bd69bee79de4f56328ee596740621949b5efa00,19:43,35,8,109
2023-08-26,6c5295c6fbf85bef4bc5e8f15b3430b939771f629ece4d806e71f69fa653a2dd,18:50,4828676b8f38501c1aebc50eac37336f15a37d1ce5267e9e9a5875491767894b,17:40,45,9,108
2023-08-19,6c5295c6fbf85bef4bc5e8f15b3430b939771f629ece4d806e71f69fa653a2dd,18:43,f85fad5be51b14ba85974c853bd69bee79de4f56328ee596740621949b5efa00,19:34,25,7,107
2023-08-12,f788d5913d459b8cf501aa0a2c0f6d52e4a66f1616494123e6335d93cf71be55,24:53,25262c085855c7f58e785287ad1e16a133fdb25dab9aabb76d6f4a496ea9add3,19:56,36,7,106
2023-08-05,8e2ca84c3ef438b4c82851f6125016cb8a2763ba8692155f2e215695e773597c,37:11,63f3b2a7472f649b54d8a699616a5903c2fed91eeb37a6cf0b22c6137a01b76e,20:45,14,7,105
2023-07-29,2a41bfb8e85a97180984b30fdcba345c41e1162cef70b8c714c00c9a433d0399,21:02,38d85f5ba28b537ccdbb53ea17ee114cb36f8c57e4ec17b505460ef03aa24ff2,20:29,28,7,104
2023-07-22,036495d734cc5f5d942fba6c32dbd311e049be544638cc4f0008439d47852222,23:55,ed22ce935d766793786b46c07f7c7737ac07314201ea9a782dc688a20e6be432,17:29,41,8,103
2023-07-15,9a6ac0fcbf2b0d10717707a72c2b38df5a1db6fdf37e3f0c5a4f8a35f79fc21d,29:51,f85fad5be51b14ba85974c853bd69bee79de4f56328ee596740621949b5efa00,18:54,35,13,102
2023-07-08,036495d734cc5f5d942fba6c32dbd311e049be544638cc4f0008439d47852222,24:46,221ffc6d2c51dc98df22aee6e74aea38e3cff84b6122c67ab41deaa45b0e1576,17:28,34,9,101
